,UCT Date,Custom Date,Temp (C)
0,01/01/10 00:00:00,12/31/09 16:00:00,14.0
1,01/01/10 00:56:00,12/31/09 16:56:00,12.8
2,01/01/10 01:56:00,12/31/09 17:56:00,11.1
3,01/01/10 02:56:00,12/31/09 18:56:00,11.1
4,01/01/10 03:56:00,12/31/09 19:56:00,10.6
5,01/01/10 04:56:00,12/31/09 20:56:00,10.0
6,01/01/10 05:56:00,12/31/09 21:56:00,9.4
7,01/01/10 06:56:00,12/31/09 22:56:00,9.4
8,01/01/10 07:56:00,12/31/09 23:56:00,8.9
9,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
10,01/01/10 07:59:00,12/31/09 23:59:00,#N/A
11,01/01/10 08:56:00,01/01/10 00:56:00,7.8
12,01/01/10 09:56:00,01/01/10 01:56:00,8.3
13,01/01/10 10:56:00,01/01/10 02:56:00,7.2
14,01/01/10 11:56:00,01/01/10 03:56:00,7.8
15,01/01/10 12:56:00,01/01/10 04:56:00,6.1
16,01/01/10 13:56:00,01/01/10 05:56:00,7.2
17,01/01/10 14:56:00,01/01/10 06:56:00,6.7
18,01/01/10 15:56:00,01/01/10 07:56:00,8.3
19,01/01/10 16:56:00,01/01/10 08:56:00,10.0
20,01/01/10 17:56:00,01/01/10 09:56:00,11.1
21,01/01/10 18:56:00,01/01/10 10:56:00,12.2
22,01/01/10 19:56:00,01/01/10 11:56:00,14.4
23,01/01/10 20:56:00,01/01/10 12:56:00,15.6
24,01/01/10 21:56:00,01/01/10 13:56:00,16.1
25,01/01/10 22:56:00,01/01/10 14:56:00,16.7
26,01/01/10 23:56:00,01/01/10 15:56:00,16.1
27,01/02/10 00:56:00,01/01/10 16:56:00,14.4
28,01/02/10 01:56:00,01/01/10 17:56:00,13.3
29,01/02/10 02:56:00,01/01/10 18:56:00,12.8
30,01/02/10 03:56:00,01/01/10 19:56:00,12.8
31,01/02/10 04:56:00,01/01/10 20:56:00,12.2
32,01/02/10 05:56:00,01/01/10 21:56:00,11.7
33,01/02/10 06:56:00,01/01/10 22:56:00,11.1
34,01/02/10 07:56:00,01/01/10 23:56:00,10.0
35,01/02/10 07:59:00,01/01/10 23:59:00,#N/A
36,01/02/10 08:56:00,01/02/10 00:56:00,8.3
37,01/02/10 09:56:00,01/02/10 01:56:00,7.2
38,01/02/10 10:56:00,01/02/10 02:56:00,6.7
39,01/02/10 11:56:00,01/02/10 03:56:00,7.8
40,01/02/10 12:56:00,01/02/10 04:56:00,7.8
41,01/02/10 13:56:00,01/02/10 05:56:00,6.1
42,01/02/10 14:56:00,01/02/10 06:56:00,6.7
43,01/02/10 15:56:00,01/02/10 07:56:00,10.0
44,01/02/10 16:56:00,01/02/10 08:56:00,11.1
45,01/02/10 17:56:00,01/02/10 09:56:00,12.8
46,01/02/10 18:56:00,01/02/10 10:56:00,14.4
47,01/02/10 19:56:00,01/02/10 11:56:00,16.7
48,01/02/10 20:56:00,01/02/10 12:56:00,18.3
